id;title;content;date
1;Singapore область;../fake-data/blob/hipster.txt;2023-09-21T10:23:04
2;помощник;../fake-data/blob/hipster.txt;2023-09-21T15:31:40
3;world-class Майка;../fake-data/blob/hipster.txt;2023-09-21T04:28:30
4;solutions;../fake-data/blob/hipster.txt;2023-09-21T13:41:07
5;Loan;../fake-data/blob/hipster.txt;2023-09-21T02:54:29
6;Pataca;../fake-data/blob/hipster.txt;2023-09-21T18:16:42
7;Орловская проспект;../fake-data/blob/hipster.txt;2023-09-21T03:39:58
8;repurpose Германия blockchains;../fake-data/blob/hipster.txt;2023-09-21T02:35:12
9;интерфейс;../fake-data/blob/hipster.txt;2023-09-21T04:23:48
10;резервное;../fake-data/blob/hipster.txt;2023-09-21T14:01:25
